Gene ID	Gene Symbol	
855699	SIW14	
852664	SIP2	
853681	SNU114	
851924	UTP4	
854673	RPL16A	
852235	COR1	
851447	RRP42	
854019	PSF3	
852294	HHF1	
852516	HPC2	
852804	RPL7A	
856371	RPS20	
856040	VPS28	
854731	AIR1	
855043	TAP42	
854235	VPS5	
856594	IKI1	
850455	CDC39	
853098	TFG1	
852039	TIF35	
854997	ERV25	
853283	FAR1	
851125	UTP21	
852284	HTB2	
851906	TFB1	
851262	TFC3	
853544	EAF6	
852688	COX4	
850806	CFT2	
853644	CNB1	
856403	VPS29	
856317	RPO26	
853429	APS3	
854329	PET123	
855277	BCH1	
851627	YOS9	
856384	MRP4	
855139	MED11	
852479	RPS6B	
851190	CDC24	
855841	RVB2	
851114	SKI2	
851097	CTF3	
851734	RPA14	
851531	PRP9	
850682	RPL8B	
855428	CAF40	
853490	RAV1	
853382	MRPL8	
853181	MES1	
855788	POP2	
851492	COX9	
852624	VID30	
851624	CDC34	
854739	PCI8	
853359	EXO70	
854424	CLP1	
852939	UFD1	
851696	APC4	
855263	UBP8	
851842	RMD5	
856696	EAF5	
851032	SFH1	
855616	YAF9	
853578	RSM7	
853128	RPS0A	
856422	RPN1	
854385	RPB10	
856518	ORC6	
855833	SRP68	
855621	POL1	
852810	RPB9	
856919	BRR2	
856738	SPC25	
856892	PEA2	
851889	HDA2	
854283	RPO31	
852071	TFB3	
851518	PRP11	
851419	RPL35B	
852607	RTF1	
853418	KAR2	
856106	HAT1	
855362	PRE5	
853674	RPL17A	
851471	LUC7	
851646	TPS2	
850808	CLF1	
852618	SEC15	
852685	CDC55	
852922	RPL26B	
853719	HSK3	
853346	CHS6	
855597	SPC98	
850611	PRE4	
856217	RPL11A	
854543	PRT1	
851759	CSN9	
851415	RPO21	
852394	VPS15	
854519	RPA190	
851694	MRPL1	
855658	RPL9B	
854106	GAL11	
854117	RPS15	
856448	COX6	
853958	DAD2	
853512	RAD7	
851699	DPB4	
853120	MVB12	
850977	YCS4	
853821	PRI2	
853993	RPL25	
851591	VPS54	
855983	VPS30	
854032	RRI2	
854778	BCY1	
851884	RTT103	
854972	CGI121	
851209	LTE1	
852449	SPP381	
856216	SNT309	
852976	RPL11B	
852058	RPS17B	
850527	LPD1	
852239	PRE7	
856659	VMA8	
851005	YHC1	
850969	RPS28B	
851532	ARP2	
856572	THP2	
852838	RNA15	
855039	MRPL3	
856091	SWI1	
854487	NOP58	
851756	NGG1	
854540	HAP5	
852494	MSI1	
856891	SPT15	
852606	GUS1	
850818	APC2	
853851	SWD2	
855083	RNA14	
852728	INO80	
855906	APL5	
855281	CUS1	
852775	RPL28	
852254	RPL19B	
852089	SNM1	
851755	RSM24	
856203	SRP54	
853371	SMC3	
852766	TAF6	
854979	USA1	
851332	SEC31	
853565	RSM26	
851576	PSF1	
853107	PDX1	
855737	RPC34	
853015	RPS23A	
856868	RPS26B	
853718	CTK1	
852938	TFC4	
851265	SWD1	
856749	GAL83	
850918	RSA3	
856011	SEC62	
852592	SNF5	
850840	PEP3	
852582	PAF1	
854418	ESA1	
853788	MUD2	
856319	SKI3	
852750	SOH1	
852415	TEF2	
850419	RSC6	
851085	ARC18	
851874	RRP45	
852860	PGD1	
855332	HSH155	
856197	DIB1	
855628	RPS7B	
854937	ORC1	
853985	MED7	
850656	ORC3	
853867	MRP17	
851589	RPS11A	
854518	RPA43	
852423	TPS1	
855665	ARP5	
855520	PSY2	
